frame,n_hydrophobic,n_polar,n_pos_charged,n_neg_charged,n_other,n_total,frac_hydrophobic
0,12,3,1,0,0,16,0.75
1,14,4,1,0,0,19,0.7368421052631579
2,15,3,1,0,0,19,0.7894736842105263
3,13,4,1,0,0,18,0.7222222222222222
4,15,3,1,0,0,19,0.7894736842105263
5,16,4,1,0,0,21,0.7619047619047619
6,11,4,1,0,0,16,0.6875
7,14,4,1,0,0,19,0.7368421052631579
8,12,4,1,0,0,17,0.7058823529411765
9,16,2,1,0,0,19,0.8421052631578947
10,15,2,1,0,0,18,0.8333333333333334
11,14,4,1,0,0,19,0.7368421052631579
12,13,4,1,0,0,18,0.7222222222222222
13,14,4,1,0,0,19,0.7368421052631579
14,14,4,1,0,0,19,0.7368421052631579
15,12,4,1,0,0,17,0.7058823529411765
16,15,4,1,0,0,20,0.75
17,15,4,1,0,0,20,0.75
18,16,4,1,0,0,21,0.7619047619047619
19,16,3,1,0,0,20,0.8
20,15,3,1,0,0,19,0.7894736842105263
21,16,3,1,0,0,20,0.8
22,12,3,1,0,0,16,0.75
23,14,3,1,0,0,18,0.7777777777777778
24,15,3,1,0,0,19,0.7894736842105263
25,15,3,1,0,0,19,0.7894736842105263
26,16,3,1,0,0,20,0.8
27,14,4,1,0,0,19,0.7368421052631579
28,16,3,1,0,0,20,0.8
29,17,2,1,0,0,20,0.85
30,16,2,1,0,0,19,0.8421052631578947
31,15,3,1,0,0,19,0.7894736842105263
32,16,3,1,0,0,20,0.8
33,14,3,1,0,0,18,0.7777777777777778
34,16,4,1,0,0,21,0.7619047619047619
35,14,4,1,0,0,19,0.7368421052631579
36,15,3,1,0,0,19,0.7894736842105263
37,15,4,1,0,0,20,0.75
38,15,4,1,0,0,20,0.75
39,15,4,1,0,0,20,0.75
40,13,4,1,0,0,18,0.7222222222222222
41,15,3,1,0,0,19,0.7894736842105263
42,16,4,1,0,0,21,0.7619047619047619
43,16,4,1,0,0,21,0.7619047619047619
44,15,2,1,0,0,18,0.8333333333333334
45,15,4,1,0,0,20,0.75
46,14,3,1,0,0,18,0.7777777777777778
47,14,4,1,0,0,19,0.7368421052631579
48,14,4,1,0,0,19,0.7368421052631579
49,16,3,1,0,0,20,0.8
50,14,2,1,0,0,17,0.8235294117647058
51,16,2,1,0,0,19,0.8421052631578947
52,15,4,1,0,0,20,0.75
53,16,3,1,0,0,20,0.8
54,15,4,1,0,0,20,0.75
55,15,3,1,0,0,19,0.7894736842105263
56,13,3,1,0,0,17,0.7647058823529411
57,14,3,1,0,0,18,0.7777777777777778
58,14,3,1,0,0,18,0.7777777777777778
59,13,4,1,0,0,18,0.7222222222222222
60,13,4,1,0,0,18,0.7222222222222222
61,13,4,1,0,0,18,0.7222222222222222
62,15,3,1,0,0,19,0.7894736842105263
63,13,3,1,0,0,17,0.7647058823529411
64,14,4,1,0,0,19,0.7368421052631579
65,14,3,1,0,0,18,0.7777777777777778
66,14,3,1,0,0,18,0.7777777777777778
67,13,4,1,0,0,18,0.7222222222222222
68,12,5,1,0,0,18,0.6666666666666666
69,14,4,1,0,0,19,0.7368421052631579
70,12,5,1,0,0,18,0.6666666666666666
71,13,4,1,0,0,18,0.7222222222222222
72,15,4,1,0,0,20,0.75
73,15,4,1,0,0,20,0.75
74,13,3,1,0,0,17,0.7647058823529411
75,14,4,1,0,0,19,0.7368421052631579
76,12,4,1,0,0,17,0.7058823529411765
77,13,3,1,0,0,17,0.7647058823529411
78,12,3,1,0,0,16,0.75
79,14,3,1,0,0,18,0.7777777777777778
80,14,3,1,0,0,18,0.7777777777777778
81,14,3,1,0,0,18,0.7777777777777778
